Gospel	ID	Verse number according to Christodouloupoulos and Steedman (2015)	Marker GRC	Marker LA	Context GRC	Context LA	Implicit GRC	Implicit LA	Utterance GRC	Utterance LA	Polarity GRC	Polarity LA	SoA	Dinamicity	Control	Ambiguous modal reading	Modal type	Notional domain	Subtype / degree	Inevitability / prospective	Function	Synoptic
 luke	lk01_20	b.LUK.1.20	δύναμαι	possum	καὶ ἰδοὺ ἔσῃ σιωπῶν καὶ μὴ δυνάμενος λαλῆσαι ἄχρι ἧς ἡμέρας γένηται ταῦτα , ἀνθ’ ὧν οὐκ ἐπίστευσας τοῖς λόγοις μου, οἵτινες πληρωθήσονται εἰς τὸν καιρὸν αὐτῶν.	et ecce eris tacens et non poteris loqui usque in diem quo haec fiant pro eo quod non credidisti verbis meis quae implebuntur in tempore suo	false	false	non-interrogative	non-interrogative	negative	negative	true	true	true	false	dynamic	possibility	participant-inherent			
 luke	lk01_22	b.LUK.1.22	δύναμαι	possum	ἐξελθὼν δὲ οὐκ ἐδύνατο λαλῆσαι αὐτοῖς , καὶ ἐπέγνωσαν ὅτι ὀπτασίαν ἑώρακεν ἐν τῷ ναῷ· καὶ αὐτὸς ἦν διανεύων αὐτοῖς καὶ διέμενεν κωφός.	egressus autem non poterat loqui ad illos et cognoverunt quod visionem vidisset in templo et ipse erat innuens illis et permansit mutus	false	false	non-interrogative	non-interrogative	negative	negative	true	true	true	false	dynamic	possibility	participant-inherent			
 luke	lk01_37	b.LUK.1.37	ἀδυνατέω	impossibilis est	ὅτι οὐκ ἀδυνατήσει παρὰ τοῦ θεοῦ πᾶν ῥῆμα .	quia non erit inpossibile apud Deum omne verbum	false	false	non-interrogative	non-interrogative	negative	negative	false			false	dynamic	possibility	situational			
 luke	lk01_62	b.LUK.1.62	θέλω	volo	ἐνένευον δὲ τῷ πατρὶ αὐτοῦ τὸ τί ἂν θέλοι καλεῖσθαι αὐτό .	innuebant autem patri eius quem vellet vocari eum	false	false	interrogative	interrogative	affirmative	affirmative	true	false	false	false	deontic	volition				
 luke	lk05_12	b.LUK.5.12	θέλω	volo	Καὶ ἐγένετο ἐν τῷ εἶναι αὐτὸν ἐν μιᾷ τῶν πόλεων καὶ ἰδοὺ ἀνὴρ πλήρης λέπρας· ἰδὼν δὲ τὸν Ἰησοῦν, πεσὼν ἐπὶ πρόσωπον ἐδεήθη αὐτοῦ λέγων· κύριε , ἐὰν θέλῃς { με καθαρίσαι } δύνασαί με καθαρίσαι .	et factum est cum esset in una civitatum et ecce vir plenus lepra et videns Iesum et procidens in faciem rogavit eum dicens Domine si vis { me mundare } potes me mundare	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	true	false	deontic	volition				s03
 luke	lk02_49	b.LUK.2.49	δεῖ	oportet	καὶ εἶπεν πρὸς αὐτούς· τί ὅτι ἐζητεῖτέ με; οὐκ ᾔδειτε ὅτι ἐν τοῖς τοῦ πατρός μου δεῖ εἶναί με ;	et ait ad illos quid est quod me quaerebatis nesciebatis quia in his quae Patris mei sunt oportet me esse	false	false	interrogative	interrogative	affirmative	affirmative	true	false	true	false	deontic	authority	obligation			
 luke	lk03_07	b.LUK.3.7	μέλλω	turus	Ἔλεγεν οὖν τοῖς ἐκπορευομένοις ὄχλοις βαπτισθῆναι ὑπ’ αὐτοῦ· γεννήματα ἐχιδνῶν, τίς ὑπέδειξεν ὑμῖν φυγεῖν ἀπὸ τῆς μελλούσης ὀργῆς ;	dicebat ergo ad turbas quae exiebant ut baptizarentur ab ipso genimina viperarum quis ostendit vobis fugere a ven tura ira	false	false	non-interrogative	interrogative	affirmative	affirmative	true	true	false	false	dynamic	necessity	situational	inevitability		sv
 luke	lk03_08	b.LUK.3.8	δύναμαι	possum	ποιήσατε οὖν καρποὺς ἀξίους τῆς μετανοίας καὶ μὴ ἄρξησθε λέγειν ἐν ἑαυτοῖς· πατέρα ἔχομεν τὸν Ἀβραάμ. λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ .	facite ergo fructus dignos paenitentiae et ne coeperitis dicere patrem habemus Abraham dico enim vobis quia potest Deus de lapidibus istis suscitare filios Abrahae	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	true	false	dynamic	possibility	participant-inherent			s02
 luke	lk03_15	b.LUK.3.15	μήποτε	forte	Προσδοκῶντος δὲ τοῦ λαοῦ καὶ διαλογιζομένων πάντων ἐν ταῖς καρδίαις αὐτῶν περὶ τοῦ Ἰωάννου, μήποτε αὐτὸς εἴη ὁ χριστός ,	existimante autem populo et cogitantibus omnibus in cordibus suis de Iohanne ne forte ipse esset Christus	false	false	interrogative	interrogative	affirmative	affirmative	true	false	false	false	epistemic		possible			
 luke	lk04_06b	b.LUK.4.6	θέλω	volo	καὶ εἶπεν αὐτῷ ὁ διάβολος· σοὶ δώσω τὴν ἐξουσίαν ταύτην ἅπασαν καὶ τὴν δόξαν αὐτῶν, ὅτι ἐμοὶ παραδέδοται καὶ ᾧ ἐὰν θέλω { δοῦναι } δίδωμι αὐτήν·	et ait ei tibi dabo potestatem hanc universam et gloriam illorum quia mihi tradita sunt et cui { dare } volo do illa	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	true	false	deontic	volition				
