Gospel	ID	Verse number according to Christodouloupoulos and Steedman (2015)	Marker GRC	Marker LA	Context GRC	Context LA	Implicit GRC	Implicit LA	Utterance GRC	Utterance LA	Polarity GRC	Polarity LA	SoA	Dinamicity	Control	Ambiguous modal reading	Modal type	Notional domain	Subtype / degree	Inevitability / prospective	Function	Synoptic
 luke	lk11_08	b.LUK.11.8	χρῄζω	necessarius	λέγω ὑμῖν, εἰ καὶ οὐ δώσει αὐτῷ ἀναστὰς διὰ τὸ εἶναι φίλον αὐτοῦ, διά γε τὴν ἀναίδειαν αὐτοῦ ἐγερθεὶς δώσει αὐτῷ ὅσων χρῄζει .	dico vobis et si non dabit illi surgens eo quod amicus eius sit propter inprobitatem tamen eius surget et dabit illi quotquot habet necessarios	false	false	non-interrogative	non-interrogative	affirmative	affirmative	false			false	dynamic	necessity	participant-inherent			
 luke	lk14_18	b.LUK.14.18	ἀνάγκην ἔχω	necesse habeo	καὶ ἤρξαντο ἀπὸ μιᾶς πάντες παραιτεῖσθαι. ὁ πρῶτος εἶπεν αὐτῷ· ἀγρὸν ἠγόρασα καὶ ἔχω ἀνάγκην ἐξελθὼν ἰδεῖν αὐτόν · ἐρωτῶ σε, ἔχε με παρῃτημένον.	et coeperunt simul omnes excusare primus dixit ei villam emi et necesse habeo exire et videre illam rogo te habe me excusatum	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	true	false	dynamic	necessity	participant-imposed			
 luke	lk14_18	b.LUK.14.18	ἀνάγκην ἔχω	necesse habeo	καὶ ἤρξαντο ἀπὸ μιᾶς πάντες παραιτεῖσθαι. ὁ πρῶτος εἶπεν αὐτῷ· ἀγρὸν ἠγόρασα καὶ ἔχω ἀνάγκην ἐξελθὼν ἰδεῖν αὐτόν · ἐρωτῶ σε, ἔχε με παρῃτημένον.	et coeperunt simul omnes excusare primus dixit ei villam emi et necesse habeo exire et videre illam rogo te habe me excusatum	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	false	false	dynamic	necessity	participant-imposed			
 luke	lk14_20	b.LUK.14.20	δύναμαι	possum	καὶ ἕτερος εἶπεν· γυναῖκα ἔγημα καὶ διὰ τοῦτο οὐ δύναμαι ἐλθεῖν .	et alius dixit uxorem duxi et ideo non possum venire	false	false	non-interrogative	non-interrogative	negative	negative	true	true	true	false	dynamic	possibility	participant-imposed			
 luke	lk14_26	b.LUK.14.26	δύναμαι	possum	εἴ τις ἔρχεται πρός με καὶ οὐ μισεῖ τὸν πατέρα ἑαυτοῦ καὶ τὴν μητέρα καὶ τὴν γυναῖκα καὶ τὰ τέκνα καὶ τοὺς ἀδελφοὺς καὶ τὰς ἀδελφὰς ἔτι τε καὶ τὴν ψυχὴν ἑαυτοῦ, οὐ δύναται εἶναί μου μαθητής .	si quis venit ad me et non odit patrem suum et matrem et uxorem et filios et fratres et sorores adhuc autem et animam suam non potest esse meus discipulus	false	false	non-interrogative	non-interrogative	negative	negative	true	false	false	false	dynamic	possibility	participant-imposed			
 luke	lk14_27	b.LUK.14.27	δύναμαι	possum	ὅστις οὐ βαστάζει τὸν σταυρὸν ἑαυτοῦ καὶ ἔρχεται ὀπίσω μου , οὐ δύναται εἶναί μου μαθητής .	et qui non baiulat crucem suam et venit post me non potest esse meus discipulus	false	false	non-interrogative	non-interrogative	negative	negative	true	false	false	false	dynamic	possibility	participant-imposed			
 luke	lk14_28	b.LUK.14.28	θέλω	volo	Τίς γὰρ ἐξ ὑμῶν θέλων πύργον οἰκοδομῆσαι οὐχὶ πρῶτον καθίσας ψηφίζει τὴν δαπάνην, εἰ ἔχει εἰς ἀπαρτισμόν;	quis enim ex vobis volens turrem aedificare non prius sedens conputat sumptus qui necessarii sunt { turrem aedificare } si habet ad perficiendum	false	false	interrogative	interrogative	affirmative	affirmative	true	true	true	false	deontic	volition				
 luke	lk14_28b	b.LUK.14.28	not preselected	necessarius	Τίς γὰρ ἐξ ὑμῶν θέλων πύργον οἰκοδομῆσαι οὐχὶ πρῶτον καθίσας ψηφίζει τὴν δαπάνην, εἰ ἔχει εἰς ἀπαρτισμόν;	quis enim ex vobis volens turrem aedificare non prius sedens conputat sumptus qui necessarii sunt { turrem aedificare } si habet ad perficiendum	false	false		non-interrogative		affirmative	false			false	dynamic	necessity	situational			
 luke	lk14_29	b.LUK.14.29	ἰσχύω	possum	ἵνα μήποτε θέντος αὐτοῦ θεμέλιον καὶ μὴ ἰσχύοντος ἐκτελέσαι πάντες οἱ θεωροῦντες ἄρξωνται αὐτῷ ἐμπαίζειν	ne posteaquam posuerit fundamentum et non potuerit perficere omnes qui vident incipiant inludere ei	false	false	non-interrogative	non-interrogative	negative	negative	true	true	true	false	dynamic	possibility	participant-imposed			
 luke	lk14_30	b.LUK.14.30	ἰσχύω	possum	λέγοντες ὅτι οὗτος ὁ ἄνθρωπος ἤρξατο οἰκοδομεῖν καὶ οὐκ ἴσχυσεν ἐκτελέσαι .	dicentes quia hic homo coepit aedificare et non potuit consummare	false	false	non-interrogative	non-interrogative	negative	negative	true	true	true	false	dynamic	possibility	participant-imposed			
 luke	lk14_31	b.LUK.14.31	not preselected	turus	Ἢ τίς βασιλεὺς πορευόμενος ἑτέρῳ βασιλεῖ συμβαλεῖν εἰς πόλεμον οὐχὶ καθίσας πρῶτον βουλεύσεται εἰ δυνατός ἐστιν ἐν δέκα χιλιάσιν ὑπαντῆσαι τῷ μετὰ εἴκοσι χιλιάδων ἐρχομένῳ ἐπ’ αὐτόν ;	aut qui rex i turus committere bellum adversus alium regem non sedens prius cogitat si possit cum decem milibus occurrere ei qui cum viginti milibus venit ad se	false	false		interrogative		affirmative	true	true	true	false	deontic	intention				
 luke	lk14_31b	b.LUK.14.31	δυνατός	possum	Ἢ τίς βασιλεὺς πορευόμενος ἑτέρῳ βασιλεῖ συμβαλεῖν εἰς πόλεμον οὐχὶ καθίσας πρῶτον βουλεύσεται εἰ δυνατός ἐστιν ἐν δέκα χιλιάσιν ὑπαντῆσαι τῷ μετὰ εἴκοσι χιλιάδων ἐρχομένῳ ἐπ’ αὐτόν ;	aut qui rex i turus committere bellum adversus alium regem non sedens prius cogitat si possit cum decem milibus occurrere ei qui cum viginti milibus venit ad se	false	false	interrogative	interrogative	affirmative	affirmative	true	true	true	false	dynamic	possibility	participant-imposed			
 luke	lk14_33	b.LUK.14.33	δύναμαι	possum	οὕτως οὖν πᾶς ἐξ ὑμῶν ὃς οὐκ ἀποτάσσεται πᾶσιν τοῖς ἑαυτοῦ ὑπάρχουσιν οὐ δύναται εἶναί μου μαθητής .	sic ergo omnis ex vobis qui non renuntiat omnibus quae possidet non potest meus esse discipulus	false	false	non-interrogative	non-interrogative	negative	negative	true	false	false	false	dynamic	possibility	participant-imposed			
 luke	lk15_28	b.LUK.15.28	θέλω	nolo	ὠργίσθη δὲ καὶ οὐκ ἤθελεν εἰσελθεῖν , ὁ δὲ πατὴρ αὐτοῦ ἐξελθὼν παρεκάλει αὐτόν.	indignatus est autem et nolebat introire pater ergo illius egressus coepit rogare illum	false	false	non-interrogative	non-interrogative	negative	affirmative	true	true	true	false	deontic	volition				
 luke	lk15_32	b.LUK.15.32	δεῖ	oportet	εὐφρανθῆναι δὲ καὶ χαρῆναι ἔδει , ὅτι ὁ ἀδελφός σου οὗτος νεκρὸς ἦν καὶ ἔζησεν, καὶ ἀπολωλὼς καὶ εὑρέθη.	epulari autem et gaudere oportebat quia frater tuus hic mortuus erat et revixit perierat et inventus est	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	true	false	deontic	acceptability	absolutely necessary			
 luke	lk15_32	b.LUK.15.32	δεῖ	oportet	εὐφρανθῆναι δὲ καὶ χαρῆναι ἔδει , ὅτι ὁ ἀδελφός σου οὗτος νεκρὸς ἦν καὶ ἔζησεν, καὶ ἀπολωλὼς καὶ εὑρέθη.	epulari autem et gaudere oportebat quia frater tuus hic mortuus erat et revixit perierat et inventus est	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	ambiguous	false	deontic	acceptability	absolutely necessary			
 luke	lk16_02	b.LUK.16.2	δύναμαι	possum	καὶ φωνήσας αὐτὸν εἶπεν αὐτῷ· τί τοῦτο ἀκούω περὶ σοῦ; ἀπόδος τὸν λόγον τῆς οἰκονομίας σου, οὐ γὰρ δύνῃ ἔτι οἰκονομεῖν.	et vocavit illum et ait illi quid hoc audio de te redde rationem vilicationis tuae iam enim non poteris vilicare	false	false	non-interrogative	non-interrogative	negative	negative	true	true	true	false	deontic	authority	permission			
 luke	lk16_13	b.LUK.16.13	δύναμαι	possum	Οὐδεὶς οἰκέτης δύναται δυσὶν κυρίοις δουλεύειν · ἢ γὰρ τὸν ἕνα μισήσει καὶ τὸν ἕτερον ἀγαπήσει, ἢ ἑνὸς ἀνθέξεται καὶ τοῦ ἑτέρου καταφρονήσει. οὐ δύνασθε θεῷ δουλεύειν καὶ μαμωνᾷ .	nemo servus potest duobus dominis servire aut enim unum odiet et alterum diliget aut uni adherebit et alterum contemnet non potestis Deo servire et mamonae	false	false	non-interrogative	non-interrogative	negative	negative	true	true	true	true	dynamic	possibility	participant-imposed			sr
 luke	lk16_13	b.LUK.16.13	δύναμαι	possum	Οὐδεὶς οἰκέτης δύναται δυσὶν κυρίοις δουλεύειν · ἢ γὰρ τὸν ἕνα μισήσει καὶ τὸν ἕτερον ἀγαπήσει, ἢ ἑνὸς ἀνθέξεται καὶ τοῦ ἑτέρου καταφρονήσει. οὐ δύνασθε θεῷ δουλεύειν καὶ μαμωνᾷ .	nemo servus potest duobus dominis servire aut enim unum odiet et alterum diliget aut uni adherebit et alterum contemnet non potestis Deo servire et mamonae	false	false	non-interrogative	non-interrogative	negative	negative	true	true	true	true	dynamic	possibility	participant-inherent			sr
 luke	lk16_13b	b.LUK.16.13	δύναμαι	possum	Οὐδεὶς οἰκέτης δύναται δυσὶν κυρίοις δουλεύειν · ἢ γὰρ τὸν ἕνα μισήσει καὶ τὸν ἕτερον ἀγαπήσει, ἢ ἑνὸς ἀνθέξεται καὶ τοῦ ἑτέρου καταφρονήσει. οὐ δύνασθε θεῷ δουλεύειν καὶ μαμωνᾷ .	nemo servus potest duobus dominis servire aut enim unum odiet et alterum diliget aut uni adherebit et alterum contemnet non potestis Deo servire et mamonae	false	false	non-interrogative	non-interrogative	negative	negative	true	true	true	false	dynamic	possibility	participant-imposed			sr
 luke	lk16_26	b.LUK.16.26	θέλω	volo	καὶ ἐν πᾶσιν τούτοις μεταξὺ ἡμῶν καὶ ὑμῶν χάσμα μέγα ἐστήρικται, ὅπως οἱ θέλοντες διαβῆναι ἔνθεν πρὸς ὑμᾶς μὴ δύνωνται , { διαβῆναι ἔνθεν πρὸς ὑμᾶς } μηδὲ { δύνωνται } ἐκεῖθεν πρὸς ἡμᾶς διαπερῶσιν.	et in his omnibus inter nos et vos chasma magnum firmatum est ut hii qui volunt hinc transire ad vos non possint neque { possint } inde huc transmeare	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	true	false	deontic	volition				sγ
 luke	lk16_26b	b.LUK.16.26	δύναμαι	possum	καὶ ἐν πᾶσιν τούτοις μεταξὺ ἡμῶν καὶ ὑμῶν χάσμα μέγα ἐστήρικται, ὅπως οἱ θέλοντες διαβῆναι ἔνθεν πρὸς ὑμᾶς μὴ δύνωνται , { διαβῆναι ἔνθεν πρὸς ὑμᾶς } μηδὲ { δύνωνται } ἐκεῖθεν πρὸς ἡμᾶς διαπερῶσιν.	et in his omnibus inter nos et vos chasma magnum firmatum est ut hii qui volunt hinc transire ad vos non possint neque { possint } inde huc transmeare	false	false	non-interrogative	non-interrogative	negative	negative	true	true	true	false	dynamic	possibility	participant-imposed			sγ
 luke	lk16_26c	b.LUK.16.26	δύναμαι	possum	καὶ ἐν πᾶσιν τούτοις μεταξὺ ἡμῶν καὶ ὑμῶν χάσμα μέγα ἐστήρικται, ὅπως οἱ θέλοντες διαβῆναι ἔνθεν πρὸς ὑμᾶς μὴ δύνωνται , { διαβῆναι ἔνθεν πρὸς ὑμᾶς } μηδὲ { δύνωνται } ἐκεῖθεν πρὸς ἡμᾶς διαπερῶσιν.	et in his omnibus inter nos et vos chasma magnum firmatum est ut hii qui volunt hinc transire ad vos non possint neque { possint } inde huc transmeare	true	true	non-interrogative	non-interrogative	negative	negative	true	true	true	false	dynamic	possibility	participant-imposed			sγ
 luke	lk17_01	b.LUK.17.1	τος εἰμί	impossibilis est	Εἶπεν δὲ πρὸς τοὺς μαθητὰς αὐτοῦ· ἀνένδεκτόν ἐστιν τοῦ τὰ σκάνδαλα μὴ ἐλθεῖν , πλὴν οὐαὶ δι’ οὗ ἔρχεται·	et ad discipulos suos ait inpossibile est ut non veniant scandala vae autem illi per quem veniunt	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	false	true	dynamic	possibility	situational	inevitability		
 luke	lk17_01	b.LUK.17.1	τος εἰμί	impossibilis est	Εἶπεν δὲ πρὸς τοὺς μαθητὰς αὐτοῦ· ἀνένδεκτόν ἐστιν τοῦ τὰ σκάνδαλα μὴ ἐλθεῖν , πλὴν οὐαὶ δι’ οὗ ἔρχεται·	et ad discipulos suos ait inpossibile est ut non veniant scandala vae autem illi per quem veniunt	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	false	true	epistemic		impossible			
 luke	lk17_10	b.LUK.17.10	ὀφείλω	debeo	οὕτως καὶ ὑμεῖς, ὅταν ποιήσητε πάντα τὰ διαταχθέντα ὑμῖν, λέγετε ὅτι δοῦλοι ἀχρεῖοί ἐσμεν, ὃ ὠφείλομεν ποιῆσαι πεποιήκαμεν.	sic et vos cum feceritis omnia quae praecepta sunt vobis dicite servi inutiles sumus quod debuimus facere fecimus	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	true	false	deontic	authority	obligation			
 luke	lk17_25	b.LUK.17.25	δεῖ	oportet	πρῶτον δὲ δεῖ αὐτὸν πολλὰ παθεῖν καὶ ἀποδοκιμασθῆναι ἀπὸ τῆς γενεᾶς ταύτης .	primum autem oportet illum multa pati et reprobari a generatione hac	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	false	true	dynamic	necessity	situational	inevitability		
 luke	lk17_25	b.LUK.17.25	δεῖ	oportet	πρῶτον δὲ δεῖ αὐτὸν πολλὰ παθεῖν καὶ ἀποδοκιμασθῆναι ἀπὸ τῆς γενεᾶς ταύτης .	primum autem oportet illum multa pati et reprobari a generatione hac	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	false	true	deontic	acceptability	absolutely necessary			
 luke	lk17_25	b.LUK.17.25	δεῖ	oportet	πρῶτον δὲ δεῖ αὐτὸν πολλὰ παθεῖν καὶ ἀποδοκιμασθῆναι ἀπὸ τῆς γενεᾶς ταύτης .	primum autem oportet illum multa pati et reprobari a generatione hac	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	true	true	dynamic	necessity	situational	inevitability		
 luke	lk17_25	b.LUK.17.25	δεῖ	oportet	πρῶτον δὲ δεῖ αὐτὸν πολλὰ παθεῖν καὶ ἀποδοκιμασθῆναι ἀπὸ τῆς γενεᾶς ταύτης .	primum autem oportet illum multa pati et reprobari a generatione hac	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	true	true	deontic	acceptability	absolutely necessary			
 luke	lk18_01	b.LUK.18.1	δεῖ	oportet	Ἔλεγεν δὲ παραβολὴν αὐτοῖς πρὸς τὸ δεῖν πάντοτε προσεύχεσθαι αὐτοὺς καὶ μὴ ἐγκακεῖν ,	dicebat autem et parabolam ad illos quoniam oportet semper orare et non deficere	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	true	false	deontic	acceptability	absolutely necessary			
 luke	lk18_01	b.LUK.18.1	δεῖ	oportet	Ἔλεγεν δὲ παραβολὴν αὐτοῖς πρὸς τὸ δεῖν πάντοτε προσεύχεσθαι αὐτοὺς καὶ μὴ ἐγκακεῖν ,	dicebat autem et parabolam ad illos quoniam oportet semper orare et non deficere	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	ambiguous	false	deontic	acceptability	absolutely necessary			
 luke	lk18_04	b.LUK.18.4	θέλω	nolo	καὶ οὐκ ἤθελεν ἐπὶ χρόνον { αὐτὴν ἐκδικῆσαι } . μετὰ δὲ ταῦτα εἶπεν ἐν ἑαυτῷ· εἰ καὶ τὸν θεὸν οὐ φοβοῦμαι οὐδὲ ἄνθρωπον ἐντρέπομαι,	et nolebat per multum tempus { vindicare } post haec autem dixit intra se et si Deum non timeo nec hominem revereor	false	false	non-interrogative	non-interrogative	negative	affirmative	true	true	true	false	deontic	volition				
 luke	lk18_13	b.LUK.18.13	θέλω	nolo	ὁ δὲ τελώνης μακρόθεν ἑστὼς οὐκ ἤθελεν οὐδὲ τοὺς ὀφθαλμοὺς ἐπᾶραι εἰς τὸν οὐρανόν , ἀλλ’ ἔτυπτεν τὸ στῆθος αὐτοῦ λέγων· ὁ θεός, ἱλάσθητί μοι τῷ ἁμαρτωλῷ.	et publicanus a longe stans nolebat nec oculos ad caelum levare sed percutiebat pectus suum dicens Deus propitius esto mihi peccatori	false	false	non-interrogative	non-interrogative	negative	affirmative	true	true	true	false	deontic	volition				
 luke	lk18_26	b.LUK.18.26	δύναμαι	possum	εἶπαν δὲ οἱ ἀκούσαντες· καὶ τίς δύναται σωθῆναι ;	et dixerunt qui audiebant et quis potest salvus fieri	false	false	interrogative	interrogative	affirmative	affirmative	true	true	false	true	dynamic	possibility	participant-imposed			so
 luke	lk18_26	b.LUK.18.26	δύναμαι	possum	εἶπαν δὲ οἱ ἀκούσαντες· καὶ τίς δύναται σωθῆναι ;	et dixerunt qui audiebant et quis potest salvus fieri	false	false	interrogative	interrogative	affirmative	affirmative	true	true	false	true	dynamic	possibility	situational			so
 luke	lk18_27	b.LUK.18.27	ἀδύνατος	impossibilis est	ὁ δὲ εἶπεν· τὰ ἀδύνατα παρὰ ἀνθρώποις δυνατὰ παρὰ τῷ θεῷ ἐστιν.	ait illis quae inpossibilia sunt apud homines possibilia sunt apud Deum	false	false	non-interrogative	non-interrogative	affirmative	affirmative	false			false	dynamic	possibility	situational			sμ
 luke	lk18_27b	b.LUK.18.27	δυνατός	possibilis	ὁ δὲ εἶπεν· τὰ ἀδύνατα παρὰ ἀνθρώποις δυνατὰ παρὰ τῷ θεῷ ἐστιν.	ait illis quae inpossibilia sunt apud homines possibilia sunt apud Deum	false	false	non-interrogative	non-interrogative	affirmative	affirmative	false			false	dynamic	possibility	situational			sμ
 luke	lk18_41	b.LUK.18.41	θέλω	volo	τί σοι θέλεις ποιήσω ; ὁ δὲ εἶπεν· κύριε, ἵνα ἀναβλέψω.	dicens quid tibi vis faciam at ille dixit Domine ut videam	false	false	interrogative	interrogative	affirmative	affirmative	true	true	true	false	deontic	volition				sg
 luke	lk19_03	b.LUK.19.3	δύναμαι	possum	καὶ ἐζήτει ἰδεῖν τὸν Ἰησοῦν τίς ἐστιν καὶ οὐκ ἠδύνατο { ἰδεῖν } ἀπὸ τοῦ ὄχλου , ὅτι τῇ ἡλικίᾳ μικρὸς ἦν.	et quaerebat videre Iesum quis esset et non poterat prae turba { videre } quia statura pusillus erat	false	false	non-interrogative	non-interrogative	negative	negative	true	false	false	false	dynamic	possibility	participant-imposed			
 luke	lk19_05	b.LUK.19.5	δεῖ	oportet	καὶ ὡς ἦλθεν ἐπὶ τὸν τόπον, ἀναβλέψας ὁ Ἰησοῦς εἶπεν πρὸς αὐτόν· Ζακχαῖε, σπεύσας κατάβηθι, σήμερον γὰρ ἐν τῷ οἴκῳ σου δεῖ με μεῖναι .	et cum venisset ad locum suspiciens Iesus vidit illum et dixit ad eum Zacchee festinans descende quia hodie in domo tua oportet me manere	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	false	true	true	deontic	acceptability	absolutely necessary			
 luke	lk19_05	b.LUK.19.5	δεῖ	oportet	καὶ ὡς ἦλθεν ἐπὶ τὸν τόπον, ἀναβλέψας ὁ Ἰησοῦς εἶπεν πρὸς αὐτόν· Ζακχαῖε, σπεύσας κατάβηθι, σήμερον γὰρ ἐν τῷ οἴκῳ σου δεῖ με μεῖναι .	et cum venisset ad locum suspiciens Iesus vidit illum et dixit ad eum Zacchee festinans descende quia hodie in domo tua oportet me manere	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	false	true	true	dynamic	necessity	situational			
 luke	lk19_14	b.LUK.19.14	θέλω	nolo	οἱ δὲ πολῖται αὐτοῦ ἐμίσουν αὐτὸν καὶ ἀπέστειλαν πρεσβείαν ὀπίσω αὐτοῦ λέγοντες· οὐ θέλομεν τοῦτον βασιλεῦσαι ἐφ’ ἡμᾶς .	cives autem eius oderant illum et miserunt legationem post illum dicentes nolumus hunc regnare super nos	false	false	non-interrogative	non-interrogative	negative	affirmative	true	false	true	false	deontic	volition				
 luke	lk19_27	b.LUK.19.27	θέλω	nolo	πλὴν τοὺς ἐχθρούς μου τούτους τοὺς μὴ θελήσαντάς με βασιλεῦσαι ἐπ’ αὐτοὺς ἀγάγετε ὧδε καὶ κατασφάξατε αὐτοὺς ἔμπροσθέν μου.	verumtamen inimicos meos illos qui noluerunt me regnare super se adducite huc et interficite ante me	false	false	non-interrogative	non-interrogative	negative	affirmative	true	false	true	false	deontic	volition				
 luke	lk19_34	b.LUK.19.34	χρείαν ἔχω	necessarius	οἱ δὲ εἶπαν· ὅτι ὁ κύριος αὐτοῦ χρείαν ἔχει .	at illi dixerunt quia Dominus eum necessarium habet	false	false	non-interrogative	non-interrogative	affirmative	affirmative	false			false	dynamic	necessity	participant-inherent			
 luke	lk20_06	b.LUK.20.6	πείθω	certus	ἐὰν δὲ εἴπωμεν· ἐξ ἀνθρώπων, ὁ λαὸς ἅπας καταλιθάσει ἡμᾶς, πεπεισμένος γάρ ἐστιν Ἰωάννην προφήτην εἶναι .	si autem dixerimus ex hominibus plebs universa lapidabit nos certi sunt enim Iohannem prophetam esse	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	false	false	false	epistemic		absolutely certain			
 luke	lk20_13	b.LUK.20.13	ἴσως	forsitan	εἶπεν δὲ ὁ κύριος τοῦ ἀμπελῶνος· τί ποιήσω; πέμψω τὸν υἱόν μου τὸν ἀγαπητόν · ἴσως τοῦτον ἐντραπήσονται .	dixit autem dominus vineae quid faciam mittam filium meum dilectum forsitan cum hunc viderint verebuntur	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	false	ambiguous	false	epistemic		possible			
 luke	lk20_22	b.LUK.20.22	ἔξεστι	licet	ἔξεστιν ἡμᾶς Καίσαρι φόρον δοῦναι ἢ οὔ { ἔξεστιν ἡμᾶς Καίσαρι φόρον δοῦναι } ;	licet nobis dare tributum Caesari an non { licet dare }	false	false	interrogative	interrogative	affirmative	affirmative	true	true	true	false	deontic	acceptability	absolutely necessary			sβ
 luke	lk20_22b	b.LUK.20.22	ἔξεστι	licet	ἔξεστιν ἡμᾶς Καίσαρι φόρον δοῦναι ἢ οὔ { ἔξεστιν ἡμᾶς Καίσαρι φόρον δοῦναι } ;	licet nobis dare tributum Caesari an non { licet dare }	true	true	interrogative	interrogative	negative	negative	true	true	true	false	deontic	acceptability	absolutely necessary			sβ
 luke	lk20_26	b.LUK.20.26	ἰσχύω	possum	καὶ οὐκ ἴσχυσαν ἐπιλαβέσθαι αὐτοῦ ῥήματος ἐναντίον τοῦ λαοῦ καὶ θαυμάσαντες ἐπὶ τῇ ἀποκρίσει αὐτοῦ ἐσίγησαν.	et non potuerunt verbum eius reprehendere coram plebe et mirati in responso eius tacuerunt	false	false	non-interrogative	non-interrogative	negative	negative	true	true	true	false	dynamic	possibility	participant-imposed			
 luke	lk20_36	b.LUK.20.36	δύναμαι	possum	οὐδὲ γὰρ ἀποθανεῖν ἔτι δύνανται , ἰσάγγελοι γάρ εἰσιν καὶ υἱοί εἰσιν θεοῦ τῆς ἀναστάσεως υἱοὶ ὄντες.	neque enim ultra mori poterunt aequales enim angelis sunt et filii sunt Dei cum sint filii resurrectionis	false	false	non-interrogative	non-interrogative	negative	negative	true	true	false	false	dynamic	possibility	participant-inherent			
 luke	lk20_46	b.LUK.20.46	θέλω	volo	προσέχετε ἀπὸ τῶν γραμματέων τῶν θελόντων περιπατεῖν ἐν στολαῖς καὶ φιλούντων ἀσπασμοὺς ἐν ταῖς ἀγοραῖς καὶ πρωτοκαθεδρίας ἐν ταῖς συναγωγαῖς καὶ πρωτοκλισίας ἐν τοῖς δείπνοις,	adtendite a scribis qui volunt ambulare in stolis et amant salutationes in foro et primas cathedras in synagogis et primos discubitus in conviviis	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	true	false	deontic	volition				sdelta
 luke	lk21_09b	b.LUK.21.9	δεῖ	oportet	ὅταν δὲ ἀκούσητε πολέμους καὶ ἀκαταστασίας, μὴ πτοηθῆτε· δεῖ γὰρ ταῦτα γενέσθαι πρῶτον , ἀλλ’ οὐκ εὐθέως τὸ τέλος.	cum autem audieritis proelia et seditiones nolite terreri oportet primum haec fieri sed non statim finis	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	false	false	dynamic	necessity	situational	inevitability		sc
 luke	lk21_15	b.LUK.21.15	δύναμαι	possum	ἐγὼ γὰρ δώσω ὑμῖν στόμα καὶ σοφίαν ᾗ οὐ δυνήσονται ἀντιστῆναι ἢ ἀντειπεῖν ἅπαντες οἱ ἀντικείμενοι ὑμῖν .	ego enim dabo vobis os et sapientiam cui non poterunt resistere et contradicere omnes adversarii vestri	false	false	non-interrogative	non-interrogative	negative	negative	true	ambiguous	true	false	dynamic	possibility	participant-inherent			
 luke	lk21_15	b.LUK.21.15	δύναμαι	possum	ἐγὼ γὰρ δώσω ὑμῖν στόμα καὶ σοφίαν ᾗ οὐ δυνήσονται ἀντιστῆναι ἢ ἀντειπεῖν ἅπαντες οἱ ἀντικείμενοι ὑμῖν .	ego enim dabo vobis os et sapientiam cui non poterunt resistere et contradicere omnes adversarii vestri	false	false	non-interrogative	non-interrogative	negative	negative	true	true	true	false	dynamic	possibility	participant-inherent			
 luke	lk22_07	b.LUK.22.7	δεῖ	necesse est	Ἦλθεν δὲ ἡ ἡμέρα τῶν ἀζύμων, ἐν ᾗ ἔδει θύεσθαι τὸ πάσχα ·	venit autem dies azymorum in qua necesse erat occidi pascha	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	false	false	deontic	authority	obligation			
 luke	lk22_09	b.LUK.22.9	θέλω	volo	οἱ δὲ εἶπαν αὐτῷ· ποῦ θέλεις ἑτοιμάσωμεν;	at illi dixerunt ubi vis paremus	false	false	interrogative	interrogative	affirmative	affirmative	true	true	true	false	deontic	volition				
 luke	lk22_37	b.LUK.22.37	δεῖ	oportet	λέγω γὰρ ὑμῖν ὅτι τοῦτο τὸ γεγραμμένον δεῖ τελεσθῆναι ἐν ἐμοί , τό· καὶ μετὰ ἀνόμων ἐλογίσθη· καὶ γὰρ τὸ περὶ ἐμοῦ τέλος ἔχει.	dico enim vobis quoniam adhuc hoc quod scriptum est oportet impleri in me et quod cum iniustis deputatus est etenim ea quae sunt de me finem habent	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	false	true	deontic	acceptability	absolutely necessary			
